Region,Province,Age_Group,Male,Female,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,35 - 39,8721,7888,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,>= 80,1586,2992,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,65 - 69,3514,3892,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,60 - 64,4905,4934,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,55 - 59,5504,5440,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,50 - 54,6300,5828,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,45 - 49,6525,6095,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,40 - 44,7833,7021,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,30 - 34,9334,8684,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,25 - 29,10242,9539,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,20 - 24,10905,10118,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,15 - 19,13020,12308,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,10 - 14,12969,12201,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,5 - 9,12530,11595,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,0 - 4,10326,9495,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,75 - 79,1215,1870,,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,70 - 74,2203,2777,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,>= 80,2574,4180,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,75 - 79,2782,3936,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,5 - 9,43146,39853,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,0 - 4,37701,35169,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,65 - 69,8292,9117,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,60 - 64,12119,12566,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,55 - 59,15118,15222,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,50 - 54,17537,17140,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,45 - 49,19031,18147,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,40 - 44,21687,20165,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,70 - 74,5047,6116,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,30 - 34,28789,26640,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,25 - 29,31427,29800,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,20 - 24,34723,33548,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,15 - 19,39559,37791,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,10 - 14,42540,39828,,
REGION XIII (CARAGA),AGUSAN DEL NORTE,35 - 39,23915,21916,,
REGION XIII (CARAGA),AGUSAN DEL SUR,70 - 74,4199,4684,,
REGION XIII (CARAGA),AGUSAN DEL SUR,65 - 69,7029,7053,,
REGION XIII (CARAGA),AGUSAN DEL SUR,60 - 64,10753,10349,,
REGION XIII (CARAGA),AGUSAN DEL SUR,55 - 59,13822,12823,,
REGION XIII (CARAGA),AGUSAN DEL SUR,50 - 54,16278,14937,,
REGION XIII (CARAGA),AGUSAN DEL SUR,45 - 49,18261,16130,,
REGION XIII (CARAGA),AGUSAN DEL SUR,40 - 44,20170,17524,,
REGION XIII (CARAGA),AGUSAN DEL SUR,25 - 29,30650,28130,,
REGION XIII (CARAGA),AGUSAN DEL SUR,30 - 34,28118,24072,,
REGION XIII (CARAGA),AGUSAN DEL SUR,20 - 24,32276,30334,,
REGION XIII (CARAGA),AGUSAN DEL SUR,15 - 19,39904,37727,,
REGION XIII (CARAGA),AGUSAN DEL SUR,10 - 14,44831,41889,,
REGION XIII (CARAGA),AGUSAN DEL SUR,0 - 4,42070,39072,,
REGION XIII (CARAGA),AGUSAN DEL SUR,75 - 79,2417,3134,,
REGION XIII (CARAGA),AGUSAN DEL SUR,35 - 39,23247,19798,,
REGION XIII (CARAGA),AGUSAN DEL SUR,5 - 9,47137,43967,,
REGION XIII (CARAGA),AGUSAN DEL SUR,>= 80,2132,3074,,
REGION VI (WESTERN VISAYAS),AKLAN,40 - 44,19027,17003,,
REGION VI (WESTERN VISAYAS),AKLAN,15 - 19,29721,27995,,
REGION VI (WESTERN VISAYAS),AKLAN,20 - 24,28831,26652,,
REGION VI (WESTERN VISAYAS),AKLAN,25 - 29,26449,24430,,
REGION VI (WESTERN VISAYAS),AKLAN,30 - 34,23776,21727,,
REGION VI (WESTERN VISAYAS),AKLAN,35 - 39,21370,19306,,
REGION VI (WESTERN VISAYAS),AKLAN,0 - 4,29275,27456,,
REGION VI (WESTERN VISAYAS),AKLAN,45 - 49,15977,14672,,
REGION VI (WESTERN VISAYAS),AKLAN,50 - 54,14522,13903,,
REGION VI (WESTERN VISAYAS),AKLAN,55 - 59,12300,12298,,
REGION VI (WESTERN VISAYAS),AKLAN,60 - 64,10086,10922,,
REGION VI (WESTERN VISAYAS),AKLAN,65 - 69,7561,8617,,
REGION VI (WESTERN VISAYAS),AKLAN,70 - 74,4867,6896,,
REGION VI (WESTERN VISAYAS),AKLAN,75 - 79,2994,5093,,
REGION VI (WESTERN VISAYAS),AKLAN,>= 80,2548,6455,,
REGION VI (WESTERN VISAYAS),AKLAN,5 - 9,30727,28298,,
REGION VI (WESTERN VISAYAS),AKLAN,10 - 14,31769,29462,,
REGION V (BICOL REGION),ALBAY,75 - 79,5273,8859,,
REGION V (BICOL REGION),ALBAY,70 - 74,9831,13701,,
REGION V (BICOL REGION),ALBAY,65 - 69,14939,17607,,
REGION V (BICOL REGION),ALBAY,60 - 64,20691,23002,,
REGION V (BICOL REGION),ALBAY,55 - 59,26083,26393,,
REGION V (BICOL REGION),ALBAY,50 - 54,31245,30794,,
REGION V (BICOL REGION),ALBAY,45 - 49,33943,33355,,
REGION V (BICOL REGION),ALBAY,40 - 44,39786,37951,,
REGION V (BICOL REGION),ALBAY,35 - 39,42484,40349,,
REGION V (BICOL REGION),ALBAY,30 - 34,46407,44333,,
REGION V (BICOL REGION),ALBAY,25 - 29,52530,50244,,
